No.,SMILES
1,Cc1cc2c(s1)-c1cc3c(c(C)c1C2(C)C)-c1sc(C)cc1C3(C)C
2,CCCCCCCCCCCCCCC(C)CCCCCCCCCCCC
3,CC1c2cc(-c3cc4c5cc6c(=O)n(C)c(=O)c7ccc8c9ccc%10c(=O)n(C)c(=O)c%11cc(c4o3)c(c9c%10%11)c5c8c76)ccc2-c2ccc(-c3cc4c5cc6c(=O)n(C)c(=O)c7ccc8c9ccc%10c(=O)n(C)c(=O)c%11cc(c4o3)c(c9c%10%11)c5c8c76)cc21
4,CCC#N
5,Cc1cc2cc3c(ccc4ccsc43)cc2s1
6,CC1=CC2C(=O)N(C)C(=O)C3=CC4=c5c(c1c1ccc6c7c(cc(c5c17)OC4(C)C)C(=O)N(C)C6=O)C32
7,COC1=CC2c3cc(OC)ccc3C(C)C2C=C1
8,CC=Cc1ccc(C)c(C)c1
9,CC1C(=O)Nc2ccc(Cl)cc21
10,Cc1cc2sc3c(c2[se]1)C(C)(C)c1cc2c(cc1-3)C(C)(C)c1c-2sc2cc(C)[se]c12
11,Cc1ccc(-c2sc(C)c3nc4c(nc23)-c2cccc3cccc-4c23)s1
12,CN1C(=O)c2cccc3cccc(c23)C1=O
13,Cc1ccc(-c2cc3c(s2)c(C)cc2c4cc(C)sc4c(C)cc32)s1
14,Cc1cc2c([se]1)-c1[se]c(C)cc1C2C
15,CCCCC(CC)CCCC
16,CCCCCCC(C)CCCCCC
17,CC1=C2C(=O)NC(c3cc4ccc(C)cc4cn3)=C2C(=O)N1C
18,CCCCCCC(CCCC)OC(C)=O
19,CCCCCCCCCCCCC(CCCO)CCCCCCCCCC
20,Cc1cc2c3c(ccc4c5c6c(c1c43)=CC=C1C(=O)N(C)C(=O)C(C=C5c3cccs3)C16)C(=O)NC2=O
21,Cc1cc2c(s1)C(C)CN2
22,Cc1ccc2c(c1)N(C)C(=O)C2C
23,CC1c2ccccc2-c2ccccc21
24,Cc1ccc(C2(C)c3cc4c5cc6c(cc5n(C)c4cc3-c3sc4cc(C)sc4c32)-c2sc3cc(C)sc3c2C6(C)C)cc1
25,Cc1cc2cc3sccc3cc2s1
26,CCCCCCCCCCC(CCCC)CCCCCCCCCC
27,c1ccc2nsnc2c1
28,CC1=CC2C(=O)NC(=O)C3c4sc5c(c4SC3C2S1)c(=O)n(C)c(=O)c1cc(C)sc15
29,O=Cc1ccccc1
30,Cc1ccc(C2(C)c3cc(C)sc3-c3[se]c4cc5c6c([se]c5cc4c32)-c2sc(C)cc2C6(C)C)cc1
31,CCCCCCCCCCCCCCOC(=O)CCCCCN
32,CN1C(=O)C2=CC(c3cc4c(=O)n(C)c(=O)c5cc6[se]c7cc8c(=O)n(C)c(=O)c9ccc%10c3c(c45)c6c7c%10c98)c3c4c5c6c(cc7[se]c8cc(c2c3c8c75)C1=O)C(=O)NC(=O)C6=CC4
33,Cc1cc2c(s1)-c1sc(C)cc1C(=O)CC2=O
34,CCCCCCCCCCCCCCCCC
35,Cc1cc2c(s1)c1sc3c(c1n2C)C(C)(C)c1cc2c(cc1-3)C(C)(C)c1c-2sc2c3sc(C)cc3n(C)c12
36,CCCCCCCCCCCCCCCC[Ge]
37,Cc1cc2[se]c3c(c2s1)C(C)(C)c1cc2c(cc1-3)C(C)(C)c1c-2[se]c2cc(C)sc12
38,Cc1sccc1F
39,CCCCCCC(CN)CCCC
40,C=C1Cc2cc(OC)c(F)cc2C1=O
41,CCCCCCCCCCCCCCCCCCC
42,COCCO
43,CCCCCCCCCCC(CCCC)CCCCCCCCC
44,CCCCCCCCOCCOCCOCCCCON
45,C=C1C(=O)N(C)C(=O)N(C)C1=O
46,Cc1ccc2c(c1)C(C)c1cc3c(cc1-2)C(C)c1cc(-c2ccc(C)s2)ccc1-3
47,Cc1cc2sc3c4sc(C)c(C)c4sc3c2s1
48,Cc1c2c(cc3nn(C)nc13)N=S=N2
49,CCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C
50,CCCCCCCCCOC(C)=O
51,CCCCCCCC[Si](C)(CCCCCC)CCCCCC
52,CC#Cc1c2ccc(C)cc2c(C)c2ccc(C)cc12
53,COCCOCCOCCOCCCCCCCN
54,Cc1cc2c3nc4cc(F)c(F)cc4nc3c3ccsc3c2s1
55,CCCCCC#N
56,Cc1cc2c(=O)n(C)c(=O)c3ncsc3c2s1
57,Cc1c2nccnc2c(C)c2nsnc12
58,C=Cc1ccc(C)cc1
59,CCCCCCCCCCCC[Ge]
60,CCCCCCCN
